ESSRenyi,Bound,AvgEpLen,VarDiscRet,eRenyi2,MaxVanillaIw,VarVanillaIw,VanillaAvgRet,MaxNormIw,AvgNormIw,VarRet,IterType,VarNormIw,Delta,J,BatchSize,VarJ,AvgVanillaIw,EpsThisIter,AvgRet,MinVanillaIw,AvgDiscRet,MinNormIw,ESSClassic
500.0,-107.137,115.22,2082.35251158,1.0,1.0,,-93.2458596426,0.0025,0.0025,2082.35251158,2,5.4346e-20,0.7,-95.6879,500,37.7057,1.0,100,-93.2458596426,1.0,-93.2458596426,0.0025,400.0
235.112709707,-101.214,101.86,1349.01453719,2.12664,9.44101,1.26992,-92.9937790979,0.0178248,0.002,1349.01453719,1,4.52679e-06,0.7,-86.2803,500,76.9603,1.05931,100,-92.9937790979,0.000546714,-92.9937790979,1.03221e-06,234.804119513
500.0,-118.093,148.54,2198.14435299,1.0,1.0,,-97.0840584589,0.01,0.01,2198.14435299,2,3.50449e-18,0.7,-97.0841,500,46.6494,1.0,100,-97.0840584589,1.0,-97.0840584589,0.01,100.0
500.0,-106.961,130.11,2671.60083648,1.0,1.0,,-87.1261230103,0.005,0.005,2671.60083648,2,2.1793e-19,0.7,-92.1051,500,49.3489,1.0,100,-87.1261230103,1.0,-87.1261230103,0.005,200.000000102
500.0,-104.109,133.23,2364.51217982,1.0,1.0,,-91.7281061923,0.00333333,0.00333333,2364.51217982,2,5.43914e-20,0.7,-91.9794,500,49.0292,1.0,100,-91.7281061923,1.0,-91.7281061923,0.00333333,299.999969474
500.0,-102.559,119.76,2051.52554995,1.0,1.0,,-92.2806079098,0.0025,0.0025,2051.52554995,2,5.4346e-20,0.7,-92.0547,500,48.0694,1.0,100,-92.2806079098,1.0,-92.2806079098,0.0025,400.0
29.4812265011,-78.8451,151.41,2507.25356329,16.9599,55.6564,31.248,-80.5543643016,0.0778561,0.002,2507.25356329,1,6.11472e-05,0.7,-40.1521,500,409.337,1.42973,100,-80.5543643016,1.63462e-24,-80.5543643016,2.28662e-27,30.7574544741
500.0,-67.9504,199.52,5663.32272963,1.0,1.0,,-54.6524049069,0.01,0.01,5663.32272963,2,3.50449e-18,0.7,-54.6524,500,74.8778,1.0,100,-54.6524049069,1.0,-54.6524049069,0.01,100.0
500.0,-70.8346,166.97,3958.10227674,1.0,1.0,,-68.2105880087,0.005,0.005,3958.10227674,2,2.1793e-19,0.7,-61.4315,500,69.3438,1.0,100,-68.2105880087,1.0,-68.2105880087,0.005,200.000000102
500.0,-71.9281,168.55,3709.72510595,1.0,1.0,,-69.8885509833,0.00333333,0.00333333,3709.72510595,2,5.43914e-20,0.7,-64.2505,500,66.6769,1.0,100,-69.8885509833,1.0,-69.8885509833,0.00333333,299.999969474
500.0,-72.4134,164.94,3119.8213294,1.0,1.0,,-70.3060406646,0.0025,0.0025,3119.8213294,2,5.4346e-20,0.7,-65.7644,500,64.1357,1.0,100,-70.3060406646,1.0,-70.3060406646,0.0025,400.0
4.14256868588,32.3471,126.16,1502.43963624,120.698,421.446,360.679,-86.640358687,0.773252,0.002,1502.43963624,1,0.00121417,0.7,97.6827,500,395.486,1.09006,100,-86.640358687,,-86.640358687,,1.64508483788
500.0,-40.2721,210.67,7972.69076172,1.0,1.0,,-31.8137400642,0.01,0.01,7972.69076172,2,3.50449e-18,0.7,-31.8137,500,88.8424,1.0,100,-31.8137400642,1.0,-31.8137400642,0.01,100.0
500.0,-51.5701,154.32,5840.35466818,1.0,1.0,,-59.3643755519,0.005,0.005,5840.35466818,2,2.1793e-19,0.7,-45.5891,500,83.8285,1.0,100,-59.3643755519,1.0,-59.3643755519,0.005,200.000000102
500.0,-55.5863,149.18,5649.95345312,1.0,1.0,,-60.9303778653,0.00333333,0.00333333,5649.95345312,2,5.43914e-20,0.7,-50.7028,500,81.2502,1.0,100,-60.9303778653,1.0,-60.9303778653,0.00333333,299.999969474
500.0,-54.7152,177.09,7405.14045123,1.0,1.0,,-46.1069669388,0.0025,0.0025,7405.14045123,2,5.4346e-20,0.7,-49.5539,500,82.3889,1.0,100,-46.1069669388,1.0,-46.1069669388,0.0025,400.0
5.98506054513,39.179,165.19,6924.03399146,83.5413,333.01,269.721,-53.1111728895,0.565688,0.002,6924.03399146,1,0.000778315,0.7,81.3737,500,227.958,1.17736,100,-53.1111728895,,-53.1111728895,,2.5616118842
500.0,-50.9881,182.51,7735.5396157,1.0,1.0,,-43.3741471675,0.01,0.01,7735.5396157,2,3.50449e-18,0.7,-43.3741,500,87.5111,1.0,100,-43.3741471675,1.0,-43.3741471675,0.01,100.0
500.0,-43.7503,205.03,8304.30135048,1.0,1.0,,-33.1450146447,0.005,0.005,8304.30135048,2,2.1793e-19,0.7,-38.2596,500,89.2518,1.0,100,-33.1450146447,1.0,-33.1450146447,0.005,200.000000102
500.0,-41.2862,203.08,8527.0759566,1.0,1.0,,-33.8900806288,0.00333333,0.00333333,8527.0759566,2,5.43914e-20,0.7,-36.8031,500,90.1597,1.0,100,-33.8900806288,1.0,-33.8900806288,0.00333333,299.999969474
500.0,-36.8352,232.1,9482.57553109,1.0,1.0,,-20.6075382042,0.0025,0.0025,9482.57553109,2,5.4346e-20,0.7,-32.7542,500,92.1558,1.0,100,-20.6075382042,1.0,-20.6075382042,0.0025,400.0
70.6294564984,-18.4521,170.03,7781.25070261,7.0792,59.5354,11.1998,-48.8604137909,0.107752,0.002,7781.25070261,1,3.66867e-05,0.7,-7.84235,500,287.991,1.10505,100,-48.8604137909,2.00062e-06,-48.8604137909,3.62087e-09,49.2448680046
