MaxVanillaIw,Bound,VanillaAvgRet,renyi2,BatchSize,J,AvgDiscRet,AvgEpLen,EpsThisIter,delta,VarRet,AvgRet,ESSClassic,AvgVanillaIw,VarVanillaIw,VarDiscRet,MinNormIw,MinVanillaIw,SamplesThisIter,VarNormIw,IterType,AvgNormIw,ESSRenyi,MaxNormIw,VarJ
2.11415e+08,1707.92,850.378197846,nan,100,331125.0,850.378197846,91.9117647059,544,0.6,181736.400595,850.378197846,3.97776874275,9746.83,1.83599e+12,181736.400595,,,50000,2.01558e-06,1,1.02124e-05,nan,0.221514,20582.6
6.96771e+11,1712.56,837.516176609,nan,100,301409.0,837.516176609,90.5797101449,552,0.6,194271.630286,837.516176609,4.0,2.80504e+07,1.95441e+19,194271.630286,,,50000,2.51602e-06,1,1.00644e-05,nan,0.25,14488.5
2.5257e+06,1564.25,820.740711881,nan,100,285808.0,820.740711881,88.6524822695,564,0.6,169172.260421,820.740711881,7.9374433607,180.549,2.8586e+08,169172.260421,,,50000,8.5086e-07,1,9.85028e-06,nan,0.137795,15944.0
820130.0,1424.73,781.335710531,nan,100,273635.0,781.335710531,84.4594594595,592,0.6,135811.70881,781.335710531,3.53901192762,74.4259,2.85809e+07,135811.70881,,,50000,4.544e-07,1,9.38438e-06,nan,0.10341,17185.6
124915.0,1700.19,862.798085836,nan,100,314789.0,862.798085836,93.2835820896,536,0.6,178711.244583,862.798085836,1.39897194205,46.6128,1.93325e+06,178711.244583,,,50000,9.55881e-08,1,1.03648e-05,nan,0.0277762,17199.4
413540.0,1638.83,849.948308734,nan,100,303529.0,849.948308734,91.9117647059,544,0.6,160856.738671,849.948308734,6.17105726546,92.3082,1.8251e+07,160856.738671,,,50000,2.23389e-07,1,1.02124e-05,nan,0.0457516,17516.9
7.15393e+13,1734.26,850.020247064,nan,100,319848.0,850.020247064,91.9117647059,544,0.6,151077.043834,850.020247064,7.77453844655,5.15054e+09,3.16003e+23,151077.043834,,,50000,1.24234e-06,1,1.02124e-05,nan,0.141847,17139.3
116666.0,1620.46,868.611591584,nan,100,292247.0,868.611591584,93.984962406,532,0.6,177381.933983,868.611591584,3.3359666081,27.9535,862552.0,177381.933983,,,50000,1.20378e-07,1,1.04428e-05,nan,0.0435836,14190.9
1.02863e+06,1652.69,844.390173537,nan,100,294704.0,844.390173537,91.2408759124,548,0.6,157529.839388,844.390173537,2.29984998455,149.661,7.59678e+07,157529.839388,,,50000,3.48582e-07,1,1.01379e-05,nan,0.0696785,16471.9
40332.1,1523.8,917.547173479,nan,100,282737.0,917.547173479,99.2063492063,504,0.6,162467.521267,917.547173479,2.31815730158,13.2719,137129.0,162467.521267,,,50000,9.45916e-08,1,1.10229e-05,nan,0.0334976,14101.1
4.339e+09,1901.43,980.582137719,nan,100,366259.0,980.582137719,105.93220339,472,0.6,215074.056144,980.582137719,3.99936099142,210240.0,8.86498e+14,215074.056144,,,50000,2.77854e-06,1,1.17702e-05,nan,0.242918,22264.0
1.57187e+12,1480.63,831.799798813,nan,100,286572.0,831.799798813,89.928057554,556,0.6,140087.151962,831.799798813,4.0,6.2825e+07,9.87496e+19,140087.151962,,,50000,2.4979e-06,1,9.99201e-06,nan,0.249999,19527.4
