ESSRenyi,MaxNormIw,VarVanillaIw,AvgNormIw,BatchSize,ESSClassic,VanillaAvgRet,VarDiscRet,J,AvgEpLen,VarRet,MinVanillaIw,AvgDiscRet,VarNormIw,MaxVanillaIw,AvgRet,Bound,AvgVanillaIw,MinNormIw,eRenyi2,VarJ
100.0,0.01,,0.009999998,100,100.0,3276.8760603661863,2693773.519569163,-1.1444092e-05,328.49,2693773.519569163,1.0,1.9554136088117957e-13,3.5044917e-18,1.0,1.9554136088117957e-13,-138.03592,1.0,0.01,1.0,1633.0449
100.0,0.01,,0.009999998,100,100.0,2975.5264700944726,2902326.7111534257,-5.722046e-06,298.34,2902326.7111534257,1.0,4.592948243953288e-13,3.5044917e-18,1.0,4.592948243953288e-13,-143.27968,1.0,0.01,1.0,1695.0823
100.0,0.01,,0.009999998,100,100.0,3154.050158835419,2842025.8880116404,-9.536743e-06,316.16,2842025.8880116404,1.0,-6.366462912410498e-14,3.5044917e-18,1.0,-6.366462912410498e-14,-141.78346,1.0,0.01,1.0,1677.3806
100.0,0.01,,0.009999998,100,100.0,3226.291284911042,2676684.8801194383,1.1444092e-05,323.4,2676684.8801194383,1.0,-4.683897714130581e-13,3.5044917e-18,1.0,-4.683897714130581e-13,-137.59737,1.0,0.01,1.0,1627.8568
100.0,0.01,,0.009999998,100,100.0,3036.537771693272,2928883.0328836646,1.9073486e-06,304.43,2928883.0328836646,1.0,-6.139089236967266e-14,3.5044917e-18,1.0,-6.139089236967266e-14,-143.93372,1.0,0.01,1.0,1702.8195
100.0,0.01,,0.009999998,100,100.0,3075.963994855922,2523019.553323586,,308.41,2523019.553323586,1.0,4.320099833421409e-13,3.5044917e-18,1.0,4.320099833421409e-13,-133.58936,1.0,0.01,1.0,1580.4396
100.0,0.01,,0.009999998,100,100.0,3256.629897052598,2645982.9728319845,-1.7166138e-05,326.42,2645982.9728319845,1.0,-5.297806637827307e-13,3.5044917e-18,1.0,-5.297806637827307e-13,-136.80598,1.0,0.01,1.0,1618.494
100.0,0.01,,0.009999998,100,100.0,3362.291018570644,3169913.4124032212,-7.6293945e-06,336.91,3169913.4124032212,1.0,-4.570210876408964e-13,3.5044917e-18,1.0,-4.570210876408964e-13,-149.73912,1.0,0.01,1.0,1771.5006
100.0,0.01,,0.009999998,100,100.0,3209.8304184105696,2578123.8739811457,-1.04904175e-05,321.74,2578123.8739811457,1.0,-3.7289282772690056e-13,3.5044917e-18,1.0,-3.7289282772690056e-13,-135.04031,1.0,0.01,1.0,1597.6052
100.0,0.01,,0.009999998,100,100.0,3474.609491764775,2452192.3716117777,-7.6293945e-06,348.19,2452192.3716117777,1.0,1.6370904631912708e-13,3.5044917e-18,1.0,1.6370904631912708e-13,-131.70091,1.0,0.01,1.0,1558.0984
100.0,0.01,,0.009999998,100,100.0,3133.744150026477,2560789.276890278,-1.1444092e-05,314.17,2560789.276890278,1.0,9.845280146691948e-13,3.5044917e-18,1.0,9.845280146691948e-13,-134.58556,1.0,0.01,1.0,1592.2252
100.0,0.01,,0.009999998,100,100.0,3429.948621337144,2419211.1448496697,1.1444092e-05,343.75,2419211.1448496697,1.0,-2.2737367544323206e-13,3.5044917e-18,1.0,-2.2737367544323206e-13,-130.81223,1.0,0.01,1.0,1547.5848
100.0,0.01,,0.009999998,100,100.0,3304.069359951567,2328524.4822533084,-1.9073486e-06,331.16,2328524.4822533084,1.0,1.7280399333685637e-13,3.5044917e-18,1.0,1.7280399333685637e-13,-128.337,1.0,0.01,1.0,1518.3014
100.0,0.01,,0.009999998,100,100.0,3080.6832351105218,2737435.7919617454,-2.670288e-05,308.96,2737435.7919617454,1.0,1.0891199053730816e-12,3.5044917e-18,1.0,1.0891199053730816e-12,-139.1501,1.0,0.01,1.0,1646.2263
100.0,0.01,,0.009999998,100,100.0,3192.35977487159,2782946.4781322554,7.6293945e-06,320.04,2782946.4781322554,1.0,1.9554136088117957e-13,3.5044917e-18,1.0,1.9554136088117957e-13,-140.30203,1.0,0.01,1.0,1659.8545
100.0,0.01,,0.009999998,100,100.0,3086.656517487813,2915395.0688490914,,309.44,2915395.0688490914,1.0,-1.241460267920047e-12,3.5044917e-18,1.0,-1.241460267920047e-12,-143.60194,1.0,0.01,1.0,1698.8942
100.0,0.01,,0.009999998,100,100.0,3220.1596302570047,2644366.953336137,-9.536743e-06,322.81,2644366.953336137,1.0,-5.275069270282983e-13,3.5044917e-18,1.0,-5.275069270282983e-13,-136.76419,1.0,0.01,1.0,1617.9998
100.0,0.01,,0.009999998,100,100.0,3300.0228739783993,2300173.6030922453,-2.2888184e-05,330.82,2300173.6030922453,1.0,-2.5920599000528453e-13,3.5044917e-18,1.0,-2.5920599000528453e-13,-127.55335,1.0,0.01,1.0,1509.03
100.0,0.01,,0.009999998,100,100.0,3255.1686991564598,2774649.1495770058,-2.2888184e-05,326.3,2774649.1495770058,1.0,2.2737367544323206e-15,3.5044917e-18,1.0,2.2737367544323206e-15,-140.09271,1.0,0.01,1.0,1657.3782
100.0,0.01,,0.009999998,100,100.0,3312.5017779498357,2801694.027525939,,331.99,2801694.027525939,1.0,-3.410605131648481e-14,3.5044917e-18,1.0,-3.410605131648481e-14,-140.77382,1.0,0.01,1.0,1665.436
100.0,0.01,,0.009999998,100,100.0,3282.282700185071,2748082.570916671,-1.9073486e-05,328.99,2748082.570916671,1.0,2.683009370230138e-13,3.5044917e-18,1.0,2.683009370230138e-13,-139.42043,1.0,0.01,1.0,1649.4247
100.0,0.01,,0.009999998,100,100.0,3347.1007244875786,2704855.252568214,1.9073486e-05,335.46,2704855.252568214,1.0,3.2741809263825415e-13,3.5044917e-18,1.0,3.2741809263825415e-13,-138.31955,1.0,0.01,1.0,1636.4005
