IterType,MaxVanillaIw,AvgDiscRet,VarDiscRet,VarVanillaIw,MaxNormIw,Bound,Delta,VarNormIw,AvgNormIw,AvgVanillaIw,VanillaAvgRet,VarJ,MinNormIw,VarRet,J,AvgRet,EpsThisIter,ESSRenyi,BatchSize,eRenyi2,ESSClassic,AvgEpLen,MinVanillaIw
1,1.6464,-538.08558248,2192.56591374,0.0444745,0.00814197,-671.474,0.1,1.08767e-06,0.005,1.01106,-538.08558248,51.0855,0.0024889,2192.56591374,-528.539,-538.08558248,100,192.639667989,200,1.03821,191.701359044,500.0,0.503286
2,1.0,-526.330809235,2709.17382255,,0.01,-735.58,0.1,3.50449e-18,0.01,1.0,-526.330809235,51.7888,0.01,2709.17382255,-526.331,-526.330809235,100,200.0,200,1.0,100.0,500.0,1.0
1,1.43879,-531.352242742,2616.75048335,0.0290343,0.00717032,-676.526,0.1,7.21101e-07,0.005,1.00329,-531.352242742,50.5778,0.00213377,2616.75048335,-524.6,-531.352242742,100,194.474523319,200,1.02841,194.420198153,500.0,0.428158
2,1.0,-527.680022328,2967.0287191,,0.01,-741.885,0.1,3.50449e-18,0.01,1.0,-527.680022328,54.1974,0.01,2967.0287191,-527.68,-527.680022328,100,200.0,200,1.0,100.0,500.0,1.0
1,1.54205,-522.385421079,2390.798813,0.034295,0.00769136,-674.358,0.1,8.53181e-07,0.005,1.00246,-522.385421079,52.4359,0.00291598,2390.798813,-520.464,-522.385421079,100,193.738639928,200,1.03232,193.431705613,500.0,0.584628
2,1.0,-520.512845389,2178.40143526,,0.01,-716.253,0.1,3.50449e-18,0.01,1.0,-520.512845389,46.4394,0.01,2178.40143526,-520.513,-520.512845389,100,200.0,200,1.0,100.0,500.0,1.0
1,1.345,-525.792855966,1807.71088545,0.0191934,0.00675179,-660.315,0.1,4.83665e-07,0.005,0.996033,-525.792855966,44.279,0.00276681,1807.71088545,-520.611,-525.792855966,100,196.311515932,200,1.01879,196.22275243,500.0,0.551166
2,1.0,-521.427005058,2476.35895669,,0.01,-724.788,0.1,3.50449e-18,0.01,1.0,-521.427005058,49.5136,0.01,2476.35895669,-521.427,-521.427005058,100,200.0,200,1.0,100.0,500.0,1.0
1,1.47922,-516.536480354,2435.33706157,0.0467865,0.00741018,-659.755,0.1,1.17412e-06,0.005,0.998102,-516.536480354,48.8348,0.0018607,2435.33706157,-513.093,-516.536480354,100,192.263380824,200,1.04024,191.071334701,500.0,0.371433
2,1.0,-509.969999545,2616.58841347,,0.01,-710.434,0.1,3.50449e-18,0.01,1.0,-509.969999545,50.8962,0.01,2616.58841347,-509.97,-509.969999545,100,200.0,200,1.0,100.0,500.0,1.0
1,1.30487,-512.497772515,2273.74618239,0.0163354,0.00652261,-656.945,0.1,4.08167e-07,0.005,1.00027,-512.497772515,48.9964,0.00324506,2273.74618239,-508.72,-512.497772515,100,196.561731211,200,1.01749,196.802940198,500.0,0.649185
2,1.0,-512.052313214,2416.35423977,,0.01,-704.782,0.1,3.50449e-18,0.01,1.0,-512.052313214,48.91,0.01,2416.35423977,-512.052,-512.052313214,100,200.0,200,1.0,100.0,500.0,1.0
1,1.23175,-521.783951994,5499.28340057,0.0125843,0.00614342,-749.477,0.1,3.13043e-07,0.005,1.00249,-521.783951994,52.6123,0.00270677,5499.28340057,-513.707,-521.783951994,100,197.508019356,200,1.01262,197.538867175,500.0,0.542704
2,1.0,-511.199316683,2246.78491022,,0.01,-701.032,0.1,3.50449e-18,0.01,1.0,-511.199316683,47.1627,0.01,2246.78491022,-511.199,-511.199316683,100,200.0,200,1.0,100.0,500.0,1.0
1,1.31154,-518.383494517,2522.40793186,0.0344874,0.00652204,-651.442,0.1,8.52833e-07,0.005,1.00547,-518.383494517,47.6949,0.00178586,2522.40793186,-510.576,-518.383494517,100,194.109050697,200,1.03035,193.434291959,500.0,0.359124
2,1.0,-503.146386697,2106.33583811,,0.01,-689.919,0.1,3.50449e-18,0.01,1.0,-503.146386697,45.6648,0.01,2106.33583811,-503.146,-503.146386697,100,200.0,200,1.0,100.0,500.0,1.0
1,1.64986,-502.169532105,2015.50162232,0.0359524,0.00815685,-632.861,0.1,8.78773e-07,0.005,1.01134,-502.169532105,46.223,0.00217172,2015.50162232,-498.747,-502.169532105,100,193.94255504,200,1.03123,193.241352481,500.0,0.439267
2,1.0,-507.693990952,2045.31633354,,0.01,-699.159,0.1,3.50449e-18,0.01,1.0,-507.693990952,44.9985,0.01,2045.31633354,-507.694,-507.693990952,100,200.0,200,1.0,100.0,500.0,1.0
