entropy,optimgain,meankl,EpisodesSoFar,ev_tdlam_before,surrgain,DiscEpRewMean,EpLenMean,TimestepsSoFar,entloss,EpRewMean,EpThisIter,TimeElapsed,Step_size
0.4189424,0.013460699,0.009943215,33500,,0.013460699,260.5397152519226,113.26,3441745,,1122.337515409667,100,3502.161530017853,1.0
0.4189424,0.005835067,0.00994186,33600,,0.005835067,292.43643290519714,116.49,3453394,,1154.6374730366078,100,3514.0235788822174,1.0
0.4189424,0.007917727,0.009945962,33700,,0.007917727,224.144529504776,107.6,3464154,,1065.7414013423518,100,3525.903336763382,1.0
0.4189424,0.0029697248,0.0076689264,33800,,0.0029697248,267.33879453659057,112.83,3475437,,1118.0400126725142,100,3537.9940309524536,1.0
0.4189424,0.013940118,0.010039117,33900,,0.013940118,283.3380972480774,114.73,3486910,,1137.0371671881999,100,3550.121754169464,1.0
0.4189424,0.0021875377,0.006007417,34000,,0.0021875377,250.9395100879669,114.79,3498389,,1137.6381487951687,100,3562.0979540348053,1.0
0.4189424,0.0039102575,0.01010334,34100,,0.0039102575,272.7398874092102,113.42,3509731,,1123.9427804373563,100,3573.7972280979156,1.0
0.4189424,0.0030716504,0.005823916,34200,,0.0030716504,288.836569442749,117.21,3521452,,1161.84164620472,100,3585.656759738922,1.0
0.4189424,0.0053614215,0.007438908,34300,,0.0053614215,253.94034044265746,111.14,3532566,,1101.1408278413385,100,3596.697408914566,1.0
0.4189424,0.007914137,0.009098794,34400,,0.007914137,246.8404214668274,112.39,3543805,,1113.6425042386272,100,3608.168909072876,1.0
0.4189424,0.0068675303,0.0073889024,34500,,0.0068675303,238.74572082519532,105.66,3554371,,1046.3452094955733,100,3619.548358440399,1.0
0.4189424,0.010729062,0.0100278305,34600,,0.010729062,268.3378273582459,112.37,3565608,,1113.4400612421994,100,3630.796444416046,1.0
0.4189424,0.004248868,0.009984757,34700,,0.004248868,224.74705861091613,102.37,3575845,,1013.4470024171384,100,3641.960342168808,1.0
0.4189424,0.012562702,0.01007865,34800,,0.012562702,220.84328879356383,106.39,3586484,,1053.641894774227,100,3652.9383959770203,1.0
0.4189424,0.006502481,0.009548917,34900,,0.006502481,202.84645559310914,101.5,3596634,,1004.7465549479306,100,3664.0356698036194,1.0
0.4189424,0.006276804,0.009236775,35000,,0.006276804,208.64612832069398,102.5,3606884,,1014.7437299803382,100,3675.055412530899,1.0
0.4189424,0.004942199,0.006472019,35100,,0.004942199,191.14991082191466,99.25,3616809,,982.2489865891333,100,3685.6838023662567,1.0
0.4189424,0.0055574914,0.00986405,35200,,0.0055574914,209.54766888618468,103.65,3627174,,1026.2471905676894,100,3695.7679936885834,1.0
